Year,Country Code,T2M,D2M,TP,Leptospirosis_Rate,Country Name,Temperature_Celsius,Dew_Point_Celsius,Relative_Humidity
2007,AT,288.2917831277533,283.9862485022026,1.0515155787,0.297074,Austria,15.141783127753342,10.836248502202636,75.47448655080682
2007,BE,290.0281229931973,286.0585110544218,0.7193374629,0.173471,Belgium,16.878122993197337,12.908511054421808,77.4449446695047
2007,BG,297.9589343427971,290.5485380126183,1.1015491479535,0.210635,Bulgaria,24.8089343427971,17.398538012618303,63.442021621978725
2007,CY,299.0403885173665,289.3041461638154,1.1514282222825,0.09586369999999998,Cyprus,25.890388517366546,16.154146163815426,54.973466480226875
2007,CZ,291.3699026586103,285.82238114803624,0.7982597348,0.11761299999999998,Czechia,18.219902658610295,12.672381148036266,70.06842311892815
2007,DE,289.9814175319149,285.382018787234,1.5050621034,0.140656,Germany,16.831417531914894,12.23201878723404,74.3049212224897
2007,DK,286.0059854334554,282.67088524216524,8.5001869141,0.405949,Denmark,12.85598543345543,9.520885242165264,80.16783563572574
2007,EE,291.6889739081886,286.8654777791563,1.8306102779,0.198579,Estonia,18.53897390818861,13.715477779156345,73.51781311161906
2007,EL,298.6067568720379,292.1886819146919,0.4257678989491,0.327724,Greece,25.456756872037943,19.03868191469195,67.6584612604738
2007,ES,299.1143504771784,289.38523215767634,0.305007934796,0.0753292,Spain,25.964350477178414,16.235232157676364,55.01686363253987
2007,FI,287.5677777825969,283.81351512876114,9.7868614205,0.179181,Finland,14.417777782596943,10.663515128761162,78.17609873236093
2007,HU,295.36711221884497,287.45568574468086,0.8312892919,0.14967,Hungary,22.21711221884499,14.305685744680886,60.86861154185763
2007,IT,296.78936467557253,290.9976726526717,0.7967357628926,0.166745,Italy,23.63936467557255,17.847672652671747,70.00593415015469
2007,LT,292.2279106805555,287.21408022222226,1.3625373849,0.167311,Lithuania,19.077910680555533,14.064080222222287,72.70996224336893
2007,LU,289.30404188010897,284.9744813079019,1.8392429361,0.546047,Luxembourg,16.15404188010899,11.82448130790192,75.52187721700882
2007,LV,292.5312171302149,286.78588404551203,1.42839050295,0.577375,Latvia,19.381217130214907,13.635884045512057,69.39368115980646
2007,MT,300.1256378947368,292.1688383488132,0.1000156402093,0.185292,Malta,26.97563789473685,19.018838348813233,61.77454233419819
2007,NL,289.2812351323829,285.8790235845214,1.0004062654,0.134911,Netherlands,16.131235132382926,12.729023584521428,80.263634766756
2007,PL,291.4354731462926,287.0460424248497,1.0579185472,0.277128,Poland,18.285473146292645,13.896042424849725,75.57592433504851
2007,RO,295.37330549968965,287.09504430167596,3.69371032427,0.141322,Romania,22.223305499689673,13.945044301675978,59.44083248788862
2007,SE,286.3501362594739,282.87533508247884,6.6763763383,0.267458,Sweden,13.200136259473936,9.725335082478864,79.46832118090298
2007,SI,293.4460282882883,288.19587414414417,0.499471664,0.099641,Slovenia,20.296028288288312,15.045874144144193,71.82728045853506
2007,SK,292.4695716942149,286.4005656198347,0.6411533359,0.240228,Slovakia,19.319571694214915,13.250565619834731,67.93427848602043
2007,UK,284.97592050147495,281.94731333333334,2.0846138001,0.125907,United Kingdom,11.825920501474968,8.797313333333364,81.69935768869304
2008,AT,282.9854194713656,279.44190678414094,1.2731933566,0.10062400000000002,Austria,9.83541947136564,6.291906784140963,78.60424234229428
2008,BE,287.7212992857143,284.0586095238095,0.51285743702,0.212928,Belgium,14.571299285714304,10.908609523809503,78.67647438725757
2008,BG,292.4588522607781,285.90180032597266,1.3114700320705,0.439879,Bulgaria,19.30885226077811,12.751800325972681,65.79987244082639
2008,CY,295.0491742871954,285.0390206428201,1.2688789355797,0.0776706,Cyprus,21.89917428719542,11.889020642820128,53.000642664146284
2008,CZ,285.80183812688824,282.05536435045315,1.1272182447,0.822282,Czechia,12.651838126888265,8.90536435045317,77.9487436868927
2008,DE,285.66923738297874,282.187347893617,1.5816593176,0.118529,Germany,12.519237382978758,9.037347893617039,79.33234678493507
2008,DK,282.78916864468863,279.2325161172161,11.2579479196,0.359638,Denmark,9.639168644688652,6.08251611721613,78.50340705279316
2008,EE,284.67026542183623,281.1673881761787,1.7066287998,0.391215,Estonia,11.520265421836257,8.017388176178713,79.07417675422678
2008,EL,294.7677363791469,288.466670985782,1.0025463107282,0.263875,Greece,21.617736379146947,15.316670985782025,67.38518754719065
2008,ES,295.95950232365146,288.3233804979253,0.6300048828,0.0951042,Spain,22.809502323651486,15.173380497925336,62.0951408466012
2008,FI,281.30590454594744,278.47996654648955,9.36690330589,0.108139,Finland,8.155904545947465,5.3299665464895725,82.36372446089891
2008,HU,287.603053768997,282.21906237082067,0.910482406,0.126454,Hungary,14.453053768996995,9.069062370820689,70.09848810506915
2008,IT,293.77412335877864,287.7063502385496,1.64666748098,0.163791,Italy,20.62412335877866,14.556350238549612,68.20252814589296
2008,LT,286.1575070833333,282.22482933333333,1.2298068992,0.348908,Lithuania,13.007507083333337,9.074829333333355,77.0310640859244
2008,LU,285.3308816893733,281.411273760218,0.9653244009,0.179319,Luxembourg,12.180881689373336,8.261273760218046,76.96793364378452
2008,LV,285.3487887484197,281.47911702907714,1.72099685671,0.587449,Latvia,12.198788748419702,8.329117029077167,77.23184640842187
2008,MT,297.23796302373586,290.1181540557276,0.7706737516354,0.523564,Malta,24.08796302373588,16.96815405572761,64.46127524069817
2008,NL,287.259586904277,283.7234667617108,1.2511558526,0.46045,Netherlands,14.109586904277023,10.573466761710847,79.27394198587699
2008,PL,286.5483695390781,283.009046513026,1.2533817274,0.124668,Poland,13.398369539078146,9.859046513026044,79.15403954678902
